Addresses,Reprint Addresses
"[Gong, Yaping] Hong Kong Univ Sci & Technol, Kowloon, Hong Kong, Peoples R China; [Wang, Mo] Univ Florida, Gainesville, FL 32611 USA; [Wang, Mo] Sun Yat Sen Univ, Guangzhou, Guangdong, Peoples R China; [Huang, Jia-Chi] Natl Chengchi Univ, Taipei, Taiwan; [Cheung, Siu Yin] Hong Kong Baptist Univ, Hong Kong, Hong Kong, Peoples R China","Gong, YP (corresponding author), Hong Kong Univ Sci & Technol, Dept Management, Kowloon, Hong Kong, Peoples R China."
"[Zhong, Weiguo] Peking Univ, Beijing, Peoples R China; [Su, Chenting; Yang, Zhilin] City Univ Hong Kong, Hong Kong, Hong Kong, Peoples R China; [Peng, Jisheng] Nanjing Univ, 22 Hankou Rd, Nanjing, Jiangsu, Peoples R China","Peng, JS (corresponding author), Nanjing Univ, 22 Hankou Rd, Nanjing, Jiangsu, Peoples R China."
"[Xu, Erica] Hong Kong Baptist Univ, Kowloon Tong, Hong Kong, Peoples R China; [Huang, Xu] Hong Kong Polytech Univ, Hong Kong, Hong Kong, Peoples R China; [Robinson, Sandra L.] Univ British Columbia, Vancouver, BC, Canada","Xu, E (corresponding author), Hong Kong Baptist Univ, Dept Management, Kowloon Tong, Hong Kong, Peoples R China."
"[Lam, Long Wai] Univ Macau, Taipa, Macao, Peoples R China; [Peng, Kelly Z.] Hong Kong Shue Yan Univ, North Point, Hong Kong, Peoples R China; [Wong, Chi-Sum; Lau, Dora C.] Chinese Univ Hong Kong, Hong Kong, Hong Kong, Peoples R China","Peng, KZ (corresponding author), Hong Kong Shue Yan Univ, Dept Business Adm, 10 Wai Tsui Crescent,Braemar Hill Rd, North Point, Hong Kong, Peoples R China."
"[Tse, Caleb H.] Sungkyunkwan Univ, Seoul, South Korea; [Yu, Linhui] Zhejiang Univ, Hangzhou, Zhejiang, Peoples R China; [Zhu, Jianjun] Univ Hong Kong, Hong Kong, Hong Kong, Peoples R China","Yu, LH (corresponding author), Zhejiang Univ, Sch Econ, Hangzhou, Zhejiang, Peoples R China."
"[Zheng, Weiting] Hong Kong Polytech Univ, Kowloon, Hong Kong, Peoples R China; [Singh, Kul Want; Chung, Chi-Nien] Natl Univ Singapore, Sch Business, Singapore, Singapore","Zheng, WT (corresponding author), Hong Kong Polytech Univ, Kowloon, Hong Kong, Peoples R China."
"[Xu, Kehan] Sun Yat Sen Univ, Guangzhou, Guangdong, Peoples R China; [Tihanyi, Laszlo; Hitt, Michael A.] Texas A&M Univ, College Stn, TX 77843 USA","Xu, KH (corresponding author), Sun Yat Sen Univ, Sch Business, Off S580, Guangzhou 510275, Guangdong, Peoples R China."
"[Kim, Kwang-Ho] Hankuk Univ Foreign Studies, Room 513,Fac Bldg,107 Imun Ro, Seoul 130791, South Korea; [Kim, MinChung] Univ Hong Kong, Hong Kong, Hong Kong, Peoples R China; [Qian, Cuili] City Univ Hong Kong, Hong Kong, Hong Kong, Peoples R China","Kim, KH (corresponding author), Hankuk Univ Foreign Studies, Room 513,Fac Bldg,107 Imun Ro, Seoul 130791, South Korea."
"[Jiang, Yuan] Shanghai Jiao Tong Univ, Shanghai, Peoples R China; [Chen, Chao C.] Rutgers State Univ, New Brunswick, NJ USA; [Chen, Chao C.] Nanjing Univ, Nanjing, Jiangsu, Peoples R China","Jiang, Y (corresponding author), Shanghai Jiao Tong Univ, Antai Coll Econ & Management, 1954 Huashan Rd, Shanghai 200030, Peoples R China."
"[Wu, Long-Zeng] Shanghai Univ Finance & Econ, Shanghai, Peoples R China; [Birtch, Thomas A.] Univ Cambridge, Cambridge, England; [Chiang, Flora F. T.] Hong Kong Baptist Univ, Hong Kong, Hong Kong, Peoples R China; [Zhang, Haina] Univ Glasgow, Glasgow, Lanark, Scotland","Chiang, FFT (corresponding author), Hong Kong Baptist Univ, Dept Management, 34 Renfrew Rd, Kowloon Tong, Hong Kong, Peoples R China."
