Addresses,Reprint Addresses
"[Chen, Xiangfeng] Fudan Univ, Sch Management, Shanghai 200433, Peoples R China; [Lu, Qihui] Zhejiang Gongshang Univ, Sch Business Adm, Hangzhou 310018, Zhejiang, Peoples R China; [Cai, Gangshu (George)] Santa Clara Univ, Leavey Sch Business, Santa Clara, CA 95053 USA","Cai, GS (corresponding author), Santa Clara Univ, Leavey Sch Business, Santa Clara, CA 95053 USA."
"[He, Long] Natl Univ Singapore, NUS Business Sch, Singapore 119245, Singapore; [Rong, Ying] Shanghai Jiao Tong Univ, Antai Coll Econ & Management, Shanghai 200052, Peoples R China; [Shen, Zuo-Jun Max] Univ Calif Berkeley, Dept Ind Engn & Operat Res, Berkeley, CA 94720 USA; [Shen, Zuo-Jun Max] Univ Calif Berkeley, Dept Civil & Environm Engn, Berkeley, CA 94720 USA","Rong, Y (corresponding author), Shanghai Jiao Tong Univ, Antai Coll Econ & Management, Shanghai 200052, Peoples R China."
"[Zhang, Fuqiang] Washington Univ, Olin Business Sch, St Louis, MO 63130 USA; [Wu, Xiaole; Feng, Tianjun; Dai, Yue] Fudan Univ, Sch Management, Shanghai 200433, Peoples R China; [Tang, Christopher S.] Univ Calif Los Angeles, Anderson Sch Management, Los Angeles, CA 90095 USA","Dai, Y (corresponding author), Fudan Univ, Sch Management, Shanghai 200433, Peoples R China."
"[Chan, Kimmy Wa] Hong Kong Baptist Univ, Sch Business, Dept Mkt, Kowloon, Hong Kong 852, Peoples R China; [Li, Stella Yiyan] No Arizona Univ, WA Franke Coll Business, 101E McConnell Dr, Flagstaff, AZ 86011 USA; [Ni, Jian] Johns Hopkins Univ, Carey Business Sch, 100 Int Dr, Baltimore, MD 21202 USA; [Zhu, John JianJun] New Mexico State Univ, Dept Mkt, NMSU Coll Business, Las Cruces, NM 88012 USA","Ni, J (corresponding author), Johns Hopkins Univ, Carey Business Sch, 100 Int Dr, Baltimore, MD 21202 USA."
"[Yang, Xiaodong] Shanghai Univ Int Business & Econ, Sch Business, Shanghai 201620, Peoples R China; [Yang, Xiaodong; Zhang, Jihong] Beijing Foreign Studies Univ, Int Business Sch, Beijing 100089, Peoples R China; [Cai, Gangshu (George)] Santa Clara Univ, Leavey Sch Business, Santa Clara, CA 95053 USA; [Ingene, Charles A.] Univ Oklahoma, Price Coll Business, Norman, OK 73019 USA","Cai, GS (corresponding author), Santa Clara Univ, Leavey Sch Business, Santa Clara, CA 95053 USA."
"[Pei, Jun; Yan, Ping; Liu, Xinbao] Hefei Univ Technol, Sch Management, Key Lab Proc Optimizat & Intelligent Decis Making, Minist Educ, Hefei 230009, Peoples R China; [Kumar, Subodha] Temple Univ, Fox Sch Business, Philadelphia, PA 19122 USA","Pei, J (corresponding author), Hefei Univ Technol, Sch Management, Key Lab Proc Optimizat & Intelligent Decis Making, Minist Educ, Hefei 230009, Peoples R China."
"[Song, Peijian; Wang, Quansheng] Nanjing Univ, Sch Business, 22 Hankou Rd, Nanjing 210093, Peoples R China; [Liu, Hefu] Univ Sci & Technol China, Sch Management, 96 Jinzhai Rd, Hefei 230026, Peoples R China; [Li, Qi] Zhejiang Gongshang Univ, 18 Xuezheng St, Hangzhou 310018, Peoples R China","Liu, HF (corresponding author), Univ Sci & Technol China, Sch Management, 96 Jinzhai Rd, Hefei 230026, Peoples R China."
"[Thurer, Matthias] Jinan Univ, Sch Intelligent Syst Sci & Engn, Zhuhai 519070, Peoples R China; [Fernandes, Nuno O.] Inst Politecn Castelo Branco, Av Empresario, P-6000767 Castelo Branco, Portugal; [Fernandes, Nuno O.] Univ Minho, Ctr ALGORITMI, Campus Gualtar, P-4710057 Braga, Portugal; [Stevenson, Mark] Univ Lancaster, Management Sch, Dept Management Sci, Lancaster LA1 4YX, England","Thurer, M (corresponding author), Jinan Univ, Sch Intelligent Syst Sci & Engn, Zhuhai 519070, Peoples R China."
"[Guan, Xu] Huazhong Univ Sci & Technol, Sch Management, Wuhan 430074, Peoples R China; [Wang, Yulan] Hong Kong Polytech Univ, Fac Business, Kowloon, Hong Kong, Peoples R China; [Yi, Zelong] Shenzhen Univ, Coll Econ, Dept Transportat Econ & Logist Management, Shenzhen, Guangdong, Peoples R China; [Chen, Ying-Ju] Hong Kong Univ Sci & Technol, Sch Business & Management, Kowloon, Hong Kong, Peoples R China; [Chen, Ying-Ju] Hong Kong Univ Sci & Technol, Sch Engn, Kowloon, Hong Kong, Peoples R China","Wang, YL (corresponding author), Hong Kong Polytech Univ, Fac Business, Kowloon, Hong Kong, Peoples R China."
"[Yiu, L. M. Daphne] Macau Univ Sci & Technol, Sch Business, Taipa, Macau, Peoples R China; [Lam, Hugo K. S.] Univ Liverpool, Management Sch, Liverpool, Merseyside, England; [Yeung, Andy C. L.; Cheng, T. C. E.] Hong Kong Polytech Univ, Fac Business, Hong Kong, Peoples R China","Yeung, ACL (corresponding author), Hong Kong Polytech Univ, Fac Business, Hong Kong, Peoples R China."
"[Hao, Zhaowei] Dongbei Univ Finance & Econ, Inst Supply Chain Analyt, Dalian 116025, Liaoning, Peoples R China; [He, Long; Hu, Zhenyu] Natl Univ Singapore, NUS Business Sch, Singapore 119245, Singapore; [He, Long; Hu, Zhenyu] Natl Univ Singapore, Inst Operat Res & Analyt, Singapore 119245, Singapore; [Jiang, Jun] Natl Univ Singapore, Inst Data Sci, Singapore 119246, Singapore; [Jiang, Jun] Natl Univ Singapore, NUS Grad Sch Integrat Sci & Engn, Singapore 119246, Singapore","Hu, ZY (corresponding author), Natl Univ Singapore, NUS Business Sch, Singapore 119245, Singapore.; Hu, ZY (corresponding author), Natl Univ Singapore, Inst Operat Res & Analyt, Singapore 119245, Singapore."
"[Wang, Jiao] Univ Elect Sci & Technol China, Sch Management & Econ, Chengdu 610054, Peoples R China; [Zhao, Lima] MIT Global SCALE Network, Ningbo China Inst Supply Chain Innovat, 169 Qixing South Rd, Ningbo 315832, Peoples R China; [Zhao, Lima] MIT, Ctr Transportat & Logist, 1 Amherst St E40, Cambridge, MA 02142 USA; [Huchzermeier, Arnd] WHU Otto Beisheim Sch Management, Burgpl 2, D-56179 Vallendar, Germany","Wang, J (corresponding author), Univ Elect Sci & Technol China, Sch Management & Econ, Chengdu 610054, Peoples R China."
"[Bensoussan, Alain; Mookerjee, Vijay] Univ Texas Dallas, Naveen Jindal Sch Management, Richardson, TX 75083 USA; [Bensoussan, Alain] City Univ Hong Kong, Sch Data Sci, Hong Kong, Peoples R China; [Yue, Wei T.] City Univ Hong Kong, Coll Business, Hong Kong, Peoples R China","Yue, WT (corresponding author), City Univ Hong Kong, Coll Business, Hong Kong, Peoples R China."
"[Lin, Mei] Singapore Management Univ, Sch Informat Syst, Singapore, Singapore; [Pan, Xiajun Amy] Univ Florida, Warrington Coll Business Adm, Gainesville, FL 32611 USA; [Zheng, Quan] Univ Sci & Technol China, Sch Management, Int Inst Finance, Hefei 230026, Anhui, Peoples R China","Zheng, Q (corresponding author), Univ Sci & Technol China, Sch Management, Int Inst Finance, Hefei 230026, Anhui, Peoples R China."
"[Li, Qing] Hong Kong Univ Sci & Technol, Sch Business & Management, Kowloon, Clear Water Bay, Hong Kong, Peoples R China; [Tang, Christopher S.] Univ Calif Los Angeles, UCLA Anderson Sch Management, Los Angeles, CA 90095 USA; [Xu, He] Huazhong Univ Sci & Technol, Sch Management, Wuhan 430074, Hubei, Peoples R China","Xu, H (corresponding author), Huazhong Univ Sci & Technol, Sch Management, Wuhan 430074, Hubei, Peoples R China."
"[Wei, Xiahua] Univ Washington, Sch Business, Bothell, WA 98011 USA; [Fan, Ming; Tan, Yong] Univ Washington, Michael G Foster Sch Business, Seattle, WA 98195 USA; [You, Weijia] Beijing Forestry Univ, Sch Econ & Management, 35 Qinghua East Rd, Beijing 100083, Peoples R China","Wei, XH (corresponding author), Univ Washington, Sch Business, Bothell, WA 98011 USA."
"[Zhu, Han] Dongbei Univ Finance & Econ, Sch Management Sci & Engn, Dalian 116025, Peoples R China; [Yu, Yimin] City Univ Hong Kong, Coll Business, Dept Management Sci, Hong Kong, Peoples R China; [Ray, Saibal] McGill Univ, Desautels Fac Management, Montreal, PQ H3A 1G5, Canada","Yu, YM (corresponding author), City Univ Hong Kong, Coll Business, Dept Management Sci, Hong Kong, Peoples R China."
"[Abouee-Mehrizi, Hossein] Univ Waterloo, Dept Management Sci, Waterloo, ON N2L 3G1, Canada; [Baron, Opher; Berman, Oded] Univ Toronto, Rotman Sch Management, Toronto, ON M5S 3E6, Canada; [Chen, David] Chinese Univ Hong Kong, CUHK Business Sch, Sch Management & Econ, Shenzhen 518172, Guangdong, Peoples R China","Chen, D (corresponding author), Chinese Univ Hong Kong, CUHK Business Sch, Sch Management & Econ, Shenzhen 518172, Guangdong, Peoples R China."
"[Xia, Li] Sun Yat Sen Univ, Sch Business, Guangzhou 510275, Peoples R China","Xia, L (corresponding author), Sun Yat Sen Univ, Sch Business, Guangzhou 510275, Peoples R China."
"[Xu, Jianjun] Dongbei Univ Finance & Econ, Inst Supply Chain Analyt, Dalian 116025, Peoples R China; [Xu, Jianjun] Dongbei Univ Finance & Econ, Int Business Coll, Dalian 116025, Peoples R China; [Gurbuz, Mustafa Cagri] Zaragoza Logist Ctr, E-50018 Zaragoza, Aragon, Spain; [Feng, Youyi] Shanghai Univ Finance & Econ, Coll Business, Shanghai, Peoples R China; [Chen, Shaoxiang] Nanyang Technol Univ, Nanyang Business Sch, Singapore 639798, Singapore","Xu, JJ (corresponding author), Dongbei Univ Finance & Econ, Inst Supply Chain Analyt, Dalian 116025, Peoples R China.; Xu, JJ (corresponding author), Dongbei Univ Finance & Econ, Int Business Coll, Dalian 116025, Peoples R China."
"[Li, Shengli] Peking Univ, Dept Informat Management, Beijing 100871, Peoples R China; [Luo, Qiuyue] Xi An Jiao Tong Univ, Sch Management, Dept Informat Management & Elect Commerce, Xian 710049, Shaanxi, Peoples R China; [Qiu, Liangfei; Bandyopadhyay, Subhajyoti] Univ Florida, Warrington Coll Business, Dept Informat Syst & Operat Management, Gainesville, FL 32611 USA","Qiu, LF (corresponding author), Univ Florida, Warrington Coll Business, Dept Informat Syst & Operat Management, Gainesville, FL 32611 USA."
"[Kumar, V; Saboo, Alok R.; Agarwal, Amit; Kumar, Binay] Georgia State Univ, J Mack Robinson Coll Business, Atlanta, GA 30326 USA; [Kumar, V] Huazhong Univ Sci & Technol, Wuhan 430074, Hubei, Peoples R China; [Kumar, V] MICA, Ahmadabad 380058, Gujarat, India; [Kumar, V] Indian Sch Business, Hyderabad 500032, Telangana, India","Kumar, V (corresponding author), Georgia State Univ, J Mack Robinson Coll Business, Atlanta, GA 30326 USA.; Kumar, V (corresponding author), Huazhong Univ Sci & Technol, Wuhan 430074, Hubei, Peoples R China.; Kumar, V (corresponding author), MICA, Ahmadabad 380058, Gujarat, India.; Kumar, V (corresponding author), Indian Sch Business, Hyderabad 500032, Telangana, India."
"[Lu, Tong] Univ Houston, CT Bauer Coll Business, 4750 Calhoun Rd,Room 334, Houston, TX 77204 USA; [Sivaramakrishnan, Konduru] Rice Univ, Jones Grad Sch Business, POB 2932-MS 531, Houston, TX 77252 USA; [Wang, Yanyan; Yu, Lisheng] Xiamen Univ, Sch Management, Baoxinliying Bldg, Xiamen 361005, Fujian, Peoples R China","Lu, T (corresponding author), Univ Houston, CT Bauer Coll Business, 4750 Calhoun Rd,Room 334, Houston, TX 77204 USA."
"[Chang, Xiangyu] Xi An Jiao Tong Univ, Sch Management, Dept Informat Management & E Business, Xian 710049, Peoples R China; [Huang, Yinghui] Hong Kong Univ Sci & Technol, Sch Engn, Dept Ind Engn & Decis Analyt, Hong Kong, Peoples R China; [Li, Mei] Univ Oklahoma, Price Coll Business, Div Mkt & Supply Chain Management, Norman, OK 73019 USA; [Bo, Xin] Minist Ecol & Environm, Appraisal Ctr Environm & Engn, Beijing 100012, Peoples R China; [Kumar, Subodha] Temple Univ, Fox Sch Business, Philadelphia, PA 19122 USA","Chang, XY (corresponding author), Xi An Jiao Tong Univ, Sch Management, Dept Informat Management & E Business, Xian 710049, Peoples R China.; Li, M (corresponding author), Univ Oklahoma, Price Coll Business, Div Mkt & Supply Chain Management, Norman, OK 73019 USA."
"[Gao, Long; Orsdemir, Adem] Univ Calif Riverside, Sch Business, Riverside, CA 92521 USA; [Guo, Liang] Chinese Univ Hong Kong, CUHK Business Sch, Shatin, Hong Kong, Peoples R China","Gao, L (corresponding author), Univ Calif Riverside, Sch Business, Riverside, CA 92521 USA."
"[Zhang, Hailun] Chinese Univ Hong Kong, Inst Data & Decis Analyt, Shenzhen 518172, Peoples R China; [Zhang, Jiheng; Zhang, Rachel Q.] Hong Kong Univ Sci & Technol, Dept Ind Engn & Decis Analyt, Clear Water Bay, Hong Kong 999707, Peoples R China","Zhang, JH (corresponding author), Hong Kong Univ Sci & Technol, Dept Ind Engn & Decis Analyt, Clear Water Bay, Hong Kong 999707, Peoples R China."
"[Kouvelis, Panos] Washinton Univ St Louis, Olin Business Sch, St Louis, MO 63130 USA; [Shi, Duo] Chinese Univ Hong Kong, Sch Management & Econ, Shenzhen 518172, Guangdong, Peoples R China; [Shi, Duo] Chinese Univ Hong Kong, Shenzhen Finance Inst, Shenzhen 518172, Guangdong, Peoples R China","Kouvelis, P (corresponding author), Washinton Univ St Louis, Olin Business Sch, St Louis, MO 63130 USA."
"[Zheng, Quan] Univ Sci & Technol China, Int Inst Finance, Sch Management, Hefei 230026, Anhui, Peoples R China; [Pan, Xiajun Amy; Vakharia, Asoo J.] Univ Florida, Warrington Coll Business, Gainesville, FL 32611 USA","Pan, XA (corresponding author), Univ Florida, Warrington Coll Business, Gainesville, FL 32611 USA."
"[Lim, Yun Fong; Wang, Rowan; Zhang, Wenjia] Singapore Management Univ, Lee Kong Chian Sch Business, Singapore 178899, Singapore; [Lu, Bingnan] Univ Minnesota, Dept Ind & Syst Engn, Minneapolis, MN 55455 USA; [Zhang, Wenjia] Chinese Univ Hong Kong, Inst Data & Decis Analyt, Shenzhen 518172, Peoples R China","Lim, YF (corresponding author), Singapore Management Univ, Lee Kong Chian Sch Business, Singapore 178899, Singapore."
"[Cai, Dongling] Sun Yat Sen Univ, Sun Yat Sen Business Sch, Guangzhou 510275, Guangdong, Peoples R China; [Jiang, Li] Hong Kong Polytech Univ, Fac Business, Hung Hom, Kowloon, Hong Kong, Peoples R China","Jiang, L (corresponding author), Hong Kong Polytech Univ, Fac Business, Hung Hom, Kowloon, Hong Kong, Peoples R China."
"[Leung, Woon Sau] Univ Edinburgh, Sch Business, 29 Buccleuch Pl, Edinburgh EH8 9JS, Midlothian, Scotland; [Li, Jing] Tsinghua Univ, Ctr Finance & Dev, 43 Chengfu Rd, Beijing 100083, Peoples R China; [Sun, Jiong] Purdue Univ, Sch Hospitality & Tourism Management, Div Consumer Sci, 812 West State St, W Lafayette, IN 47907 USA","Sun, J (corresponding author), Purdue Univ, Sch Hospitality & Tourism Management, Div Consumer Sci, 812 West State St, W Lafayette, IN 47907 USA."
"[Guo, Pengfei; Wang, Yulan] Hong Kong Polytech Univ, Fac Business, Hong Kong, Peoples R China; [Liu, Fang] Nanyang Technol Univ, Nanyang Business Sch, Singapore 639798, Singapore","Wang, Y (corresponding author), Hong Kong Polytech Univ, Fac Business, Hong Kong, Peoples R China."
"[Xiao, Binqing] Nanjing Univ, Sch Management & Engn, Nanjing 210093, Jiangsu, Peoples R China; [Xiao, Wenqiang] NYU, Stern Sch Business, New York, NY 10012 USA","Xiao, WQ (corresponding author), NYU, Stern Sch Business, New York, NY 10012 USA."
"[Chen, Xi] NYU, Leonard N Stern Sch Business, New York, NY 10012 USA; [Shi, Chao] Shanghai Univ Finance & Econ, Sch Informat Management & Engn, Shanghai, Peoples R China; [Wang, Yining] Univ Florida, Warrington Coll Business, Gainesville, FL 32611 USA; [Zhou, Yuan] Univ Illinois, Dept Comp Sci Affiliate, Dept Ind & Enterprise Syst, Urbana, IL 61801 USA","Shi, C (corresponding author), Shanghai Univ Finance & Econ, Sch Informat Management & Engn, Shanghai, Peoples R China."
"[He, Rongchuan] Univ Sci & Technol China, Int Inst Finance, Sch Management, Hefei 230026, Anhui, Peoples R China; [Lu, Ye] City Univ Hong Kong, Dept Management Sci, Kowloon, Hong Kong, Peoples R China","Lu, Y (corresponding author), City Univ Hong Kong, Dept Management Sci, Kowloon, Hong Kong, Peoples R China."
"[Ba, Sulin; Li, Xinxin] Univ Connecticut, Sch Business, Dept Operat & Informat Management, Storrs, CT 06269 USA; [Jin, Yuan] Texas Tech Univ, Rawls Coll Business, Lubbock, TX 79409 USA; [Lu, Xianghua] Fudan Univ, Sch Management, Shanghai 200433, Peoples R China","Ba, SL (corresponding author), Univ Connecticut, Sch Business, Dept Operat & Informat Management, Storrs, CT 06269 USA."
"[Ma, Buqing] Univ Sci & Technol China, Sch Management, Int Inst Finance, Hefei 230026, Anhui, Peoples R China; [Di, Chenchen] Univ Illinois, Gies Coll Business, Champaign, IL 61820 USA; [Hsiao, Lu] Natl Chung Hsing Univ, Dept Business Adm, Taichung 402204, Taiwan","Hsiao, L (corresponding author), Natl Chung Hsing Univ, Dept Business Adm, Taichung 402204, Taiwan."
"[Xie, Jingui] Brunel Univ London, Brunel Business Sch, Uxbridge UB8 3PH, Middx, England; [Xie, Jingui] Univ Sci & Technol China, Sch Management, Hefei 230062, Peoples R China; [Zhuang, Weifen] Xiamen Univ, Sch Management, Xiamen 361005, Peoples R China; [Ang, Marcus] Singapore Management Univ, Lee Kong Chian Sch Business, Singapore 178899, Singapore; [Chou, Mabel C.] Natl Univ Singapore, NUS Business Sch, Singapore 119245, Singapore; [Chou, Mabel C.] Natl Univ Singapore, Inst Operat Res & Analyt, Singapore 119245, Singapore; [Luo, Li] Sichuan Univ, Business Sch, Chengdu 610064, Peoples R China; [Yao, David D.] Columbia Univ, IEOR Dept, New York, NY 10027 USA","Zhuang, WF (corresponding author), Xiamen Univ, Sch Management, Xiamen 361005, Peoples R China."
"[Dai, Jim G.] Chinese Univ Hong Kong, Inst Data & Decis Analyt, Shenzhen 518172, Peoples R China; [Dai, Jim G.] Chinese Univ Hong Kong, Shenzhen Res Inst Big Data, Shenzhen 518172, Peoples R China; [Dai, Jim G.] Cornell Univ, Sch Operat Res & Informat Engn, Ithaca, NY 14853 USA; [Shi, Pengyi] Purdue Univ, Krannert Sch Management, W Lafayette, IN 47907 USA","Shi, PY (corresponding author), Purdue Univ, Krannert Sch Management, W Lafayette, IN 47907 USA."
"[He, Qiao-Chu] Southern Univ Sci & Technol SUSTech, 1088 Xueyuan Ave, Shenzhen 518055, Guangdong, Peoples R China; [Chen, Ying-Ju] HKUST, Kowloon, Clear Water Bay, Hong Kong, Peoples R China; [Righter, Rhonda] Univ Calif Berkeley, 2521 Hearst Ave,Etcheverry Hall, Berkeley, CA 94709 USA","He, QC (corresponding author), Southern Univ Sci & Technol SUSTech, 1088 Xueyuan Ave, Shenzhen 518055, Guangdong, Peoples R China."
"[Chen, Jian] Tsinghua Univ, Sch Econ & Management, Res Ctr Contemporary Management, Key Res Inst Humanities & Social Sci Univ, Beijing 100084, Peoples R China; [Huang, He; Xu, Hongyan] Chongqing Univ, Sch Econ & Business Adm, Chongqing 400044, Peoples R China; [Liu, Liming] Hong Kong Polytech Univ, Fac Business, Hong Kong, Peoples R China","Huang, H (corresponding author), Chongqing Univ, Sch Econ & Business Adm, Chongqing 400044, Peoples R China."
"[Xie, Yangyang] Univ Sci & Technol China, Int Inst Finance, Sch Management, Hefei 230026, Anhui, Peoples R China; [Xie, Lei] Shanghai Univ Finance & Econ, Coll Business, Shanghai 200433, Peoples R China; [Lu, Meng] Hongkong & Shanghai Banking Corp Ltd, Dept Model Risk Management, Kowloon, Hong Kong, Peoples R China; [Yan, Houmin] City Univ Hong Kong, Coll Business, Dept Management Sci, Kowloon, Hong Kong, Peoples R China","Xie, L (corresponding author), Shanghai Univ Finance & Econ, Coll Business, Shanghai 200433, Peoples R China."
"[Feng, Qi; Shanthikumar, J. George] Purdue Univ, Krannert Sch Management, W Lafayette, IN 47907 USA; [Ma, Zhongjie] Facebook Inc, Ads & Business Prod, Menlo Pk, CA 94025 USA; [Mao, Zhaofang] Tianjin Univ, Coll Management & Econ, Tianjin 300072, Peoples R China","Mao, ZF (corresponding author), Tianjin Univ, Coll Management & Econ, Tianjin 300072, Peoples R China."
"[Lee, Chung-Yee] Hong Kong Univ Sci & Technol, Dept Ind Engn & Decis Analyt, Clearwater Bay, Hong Kong, Peoples R China; [Shu, Shengnan; Xu, Zhou] Hong Kong Polytech Univ, Fac Business, Dept Logist & Maritime Studies, Kowloon, Hong Kong, Peoples R China","Shu, SN (corresponding author), Hong Kong Polytech Univ, Fac Business, Dept Logist & Maritime Studies, Kowloon, Hong Kong, Peoples R China."
"[Zhang, Jianghua] Shandong Univ, Sch Management, Jinan, Peoples R China; [Long, Daniel Zhuoyu; Xie, Chi] Chinese Univ Hong Kong, Dept Syst Engn & Engn Management, Hong Kong, Peoples R China; [Wang, Rowan] Singapore Management Univ, Lee Kong Chian Sch Business, Singapore, Singapore","Xie, C (corresponding author), Chinese Univ Hong Kong, Dept Syst Engn & Engn Management, Hong Kong, Peoples R China.; Wang, RW (corresponding author), Singapore Management Univ, Lee Kong Chian Sch Business, Singapore, Singapore."
"[Deng, Qiyuan] Chinese Univ Hong Kong, Sch Management & Econ, Shenzhen 518172, Guangdong, Peoples R China; [Deng, Qiyuan] Chinese Univ Hong Kong, Shenzhen Finance Inst, Shenzhen 518172, Guangdong, Peoples R China; [Fang, Xin; Lim, Yun Fong] Singapore Management Univ, Lee Kong Chian Sch Business, Singapore 178899, Singapore","Lim, YF (corresponding author), Singapore Management Univ, Lee Kong Chian Sch Business, Singapore 178899, Singapore."
"[Banker, Rajiv] Temple Univ, Fox Sch Business, Dept Accounting, 461 Alter Hall,1801 Liacouras Walk, Philadelphia, PA 19122 USA; [Huang, Rong] Fudan Univ, Sch Management, Dept Accounting, 316 Siyuan Bldg,670 Guoshun Rd, Shanghai 200433, Peoples R China; [Li, Yinghua] Arizona State Univ, Sch Accountancy, WP Carey Sch Business, 300 East Lemon St,TEMPE Campus,Mailcode 3606, Tempe, AZ 85287 USA; [Zhao, Sha] Oakland Univ, Sch Business Adm, Dept Accounting & Finance, 339 Elliott Hall,275 Varner Dr, Rochester, MI 48309 USA","Huang, R (corresponding author), Fudan Univ, Sch Management, Dept Accounting, 316 Siyuan Bldg,670 Guoshun Rd, Shanghai 200433, Peoples R China."
"[Gao, Haibing] Renmin Univ China, Sch Business, Beijing 100872, Peoples R China; [Zhao, Huazhong] City Univ Hong Kong, Coll Business, Kowloon Tong, Hong Kong, Peoples R China; [Tan, Yinliang (Ricky)] Tulane Univ, AB Freeman Sch Business, New Orleans, LA 70118 USA; [Lin, Ya (Lisa)] Hong Kong Baptist Univ, Sch Business, Kowloon Tong, Hong Kong, Peoples R China; [Wei, Lai] Shanghai Jiao Tong Univ, Antai Coll Econ & Management, Shanghai 200030, Peoples R China","Zhao, HZ (corresponding author), City Univ Hong Kong, Coll Business, Kowloon Tong, Hong Kong, Peoples R China.; Wei, L (corresponding author), Shanghai Jiao Tong Univ, Antai Coll Econ & Management, Shanghai 200030, Peoples R China."
"[Jain, Tarun; Hazra, Jishnu] Indian Inst Management Bangalore, Bangalore 560076, Karnataka, India; [Cheng, T. C. Edwin] Hong Kong Polytech Univ, PolyU Business Sch, Dept Logist & Maritime Studies, Hong Kong, Peoples R China","Jain, T (corresponding author), Indian Inst Management Bangalore, Bangalore 560076, Karnataka, India."
"[Yang, Ruina]Univ Washington, Sch Management, Xian 710049, Peoples R China; [Mai, Yinhua] Tsinghua Univ, Grad Sch Shenzhen, Shenzhen Logist Engn & Simulat Lab, Beijing 518055, Peoples R China; [Lee, Chung-Yee] Hong Kong Univ Sci & Technol, Clear Water Bay, Hong Kong, Peoples R China; [Teo, Chung-Piaw] Natl Univ Singapore, Inst Operat Res & Analyt, Singapore 119077, Singapore","Mai, YH (corresponding author), Tsinghua Univ, Grad Sch Shenzhen, Shenzhen Logist Engn & Simulat Lab, Beijing 518055, Peoples R China."
